language,country,count(customer_detail.id)
French,USA,127
German,Brazil,125
Dutch,Canada,123
Turkish,UK,121
Portuguese,Japan,121
Russian,Canada,120
Vietnamese,USA,119
French,France,118
Swedish,USA,118
Thai,Japan,116
Russian,China,116
Portuguese,Australia,115
Vietnamese,Brazil,114
Korean,Canada,114
Swedish,Brazil,114
Turkish,China,114
French,UK,114
Portuguese,Brazil,113
Italian,Australia,113
Vietnamese,Canada,112
German,Canada,112
Japanese,Japan,111
Italian,China,111
Portuguese,Canada,111
Japanese,India,111
German,UK,111
Korean,France,111
Italian,Germany,111
English,USA,110
Polish,UK,110
Spanish,France,110
Hindi,China,110
Dutch,India,110
Spanish,Australia,110
Italian,Japan,110
Hindi,Canada,109
Russian,USA,109
German,China,109
Spanish,India,109
Arabic,China,109
French,Australia,108
Thai,Brazil,108
Japanese,France,108
French,Brazil,108
Hindi,Australia,107
Polish,Japan,107
Greek,China,107
French,Japan,107
Polish,Canada,107
Romanian,USA,106
Romanian,Australia,106
Russian,UK,106
Korean,China,106
Hindi,UK,106
Mandarin,Brazil,106
English,India,105
Portuguese,France,105
Dutch,Germany,105
Italian,USA,105
Hindi,USA,105
Romanian,Canada,104
Greek,USA,104
Vietnamese,UK,104
Vietnamese,Australia,104
Korean,UK,104
Spanish,Brazil,104
Mandarin,UK,103
Turkish,Japan,103
Turkish,India,103
Dutch,Australia,103
Spanish,USA,102
Hindi,Brazil,102
Hindi,Japan,102
Mandarin,India,102
Greek,Germany,102
Thai,USA,102
Greek,UK,102
Vietnamese,India,102
French,China,102
Thai,Germany,102
Korean,Australia,102
English,France,102
Thai,Australia,102
Polish,Germany,101
Greek,India,101
Portuguese,UK,101
Turkish,France,101
Swedish,China,101
Portuguese,Germany,101
Spanish,Japan,101
Turkish,Brazil,101
Russian,Brazil,101
German,USA,100
Vietnamese,Japan,100
Spanish,UK,100
Japanese,Australia,100
Russian,Japan,100
Polish,India,100
Vietnamese,Germany,100
Romanian,Germany,100
Mandarin,Australia,100
Swedish,UK,100
Japanese,UK,100
Greek,France,99
Greek,Japan,99
Swedish,Germany,99
Romanian,China,99
Turkish,Canada,99
Korean,Brazil,99
English,Brazil,99
Polish,China,99
Hindi,France,98
German,Australia,98
Thai,UK,98
Mandarin,Canada,98
Arabic,Germany,98
German,Germany,98
Arabic,Australia,98
Spanish,Germany,98
Russian,Germany,98
French,Germany,97
Polish,Brazil,97
Greek,Australia,97
Turkish,USA,97
Portuguese,USA,97
German,France,97
Portuguese,India,97
Polish,USA,97
English,China,97
Swedish,Canada,97
Thai,France,97
Japanese,Brazil,97
Mandarin,China,96
Italian,Canada,96
Polish,France,96
Dutch,France,96
Spanish,Canada,95
Swedish,Australia,95
Arabic,UK,95
Romanian,France,95
Greek,Brazil,95
Russian,India,94
English,UK,94
Portuguese,China,94
Swedish,Japan,94
Hindi,India,93
English,Canada,93
Italian,UK,93
French,Canada,93
Arabic,India,93
Japanese,Germany,93
Dutch,USA,93
Arabic,Brazil,92
Korean,Germany,92
Vietnamese,China,92
Dutch,UK,92
Japanese,China,92
Dutch,Brazil,92
English,Japan,91
Japanese,Canada,91
Korean,Japan,91
Turkish,Australia,91
German,Japan,91
Swedish,France,91
English,Germany,91
Greek,Canada,91
Korean,USA,91
Mandarin,Japan,90
Italian,Brazil,90
Korean,India,90
Arabic,France,90
Romanian,India,89
Mandarin,USA,89
Arabic,USA,89
Polish,Australia,88
Thai,Canada,88
Dutch,Japan,88
Russian,France,88
Vietnamese,France,88
Spanish,China,88
Italian,France,88
Mandarin,Germany,88
Arabic,Japan,87
Romanian,Japan,87
Italian,India,87
Russian,Australia,86
Japanese,USA,86
Swedish,India,86
French,India,86
Romanian,Brazil,86
Thai,China,85
Arabic,Canada,85
Hindi,Germany,85
Turkish,Germany,84
Dutch,China,83
Romanian,UK,82
German,India,82
Thai,India,81
English,Australia,79
Mandarin,France,72
,India,1
Arabic,UAE,1
Spanish,Mexico,1
Bengali,India,1
Russian,Russia,1
Twi,Ghana,1
Italian,Italy,1
Arabic,Lebanon,1
Swedish,Sweden,1
Korean,South Korea,1
Arabic,Egypt,1
Romanian,Romania,1
Vietnamese,Vietnam,1
